^GSPC
dates 	open 	high 	low 	close 	volume
03-Jan-1950 	16.660000 	16.660000 	16.660000 	16.660000 	1260000.000000
04-Jan-1950 	16.850000 	16.850000 	16.850000 	16.850000 	1890000.000000
05-Jan-1950 	16.930000 	16.930000 	16.930000 	16.930000 	2550000.000000
06-Jan-1950 	16.980000 	16.980000 	16.980000 	16.980000 	2010000.000000
09-Jan-1950 	17.080000 	17.080000 	17.080000 	17.080000 	2520000.000000
10-Jan-1950 	17.030000 	17.030000 	17.030000 	17.030000 	2160000.000000
11-Jan-1950 	17.090000 	17.090000 	17.090000 	17.090000 	2630000.000000
12-Jan-1950 	16.760000 	16.760000 	16.760000 	16.760000 	2970000.000000
13-Jan-1950 	16.670000 	16.670000 	16.670000 	16.670000 	3330000.000000
16-Jan-1950 	16.720000 	16.720000 	16.720000 	16.720000 	1460000.000000
17-Jan-1950 	16.860000 	16.860000 	16.860000 	16.860000 	1790000.000000
18-Jan-1950 	16.850000 	16.850000 	16.850000 	16.850000 	1570000.000000
19-Jan-1950 	16.870000 	16.870000 	16.870000 	16.870000 	1170000.000000
20-Jan-1950 	16.900000 	16.900000 	16.900000 	16.900000 	1440000.000000
23-Jan-1950 	16.920000 	16.920000 	16.920000 	16.920000 	1340000.000000
24-Jan-1950 	16.860000 	16.860000 	16.860000 	16.860000 	1250000.000000
25-Jan-1950 	16.740000 	16.740000 	16.740000 	16.740000 	1700000.000000
26-Jan-1950 	16.730000 	16.730000 	16.730000 	16.730000 	1150000.000000
27-Jan-1950 	16.820000 	16.820000 	16.820000 	16.820000 	1250000.000000
30-Jan-1950 	17.020000 	17.020000 	17.020000 	17.020000 	1640000.000000
31-Jan-1950 	17.050000 	17.050000 	17.050000 	17.050000 	1690000.000000
01-Feb-1950 	17.050000 	17.050000 	17.050000 	17.050000 	1810000.000000
02-Feb-1950 	17.230000 	17.230000 	17.230000 	17.230000 	2040000.000000
03-Feb-1950 	17.290000 	17.290000 	17.290000 	17.290000 	2210000.000000
06-Feb-1950 	17.320000 	17.320000 	17.320000 	17.320000 	1490000.000000
07-Feb-1950 	17.230000 	17.230000 	17.230000 	17.230000 	1360000.000000
08-Feb-1950 	17.210000 	17.210000 	17.210000 	17.210000 	1470000.000000
09-Feb-1950 	17.280000 	17.280000 	17.280000 	17.280000 	1810000.000000
10-Feb-1950 	17.240000 	17.240000 	17.240000 	17.240000 	1790000.000000
14-Feb-1950 	17.060000 	17.060000 	17.060000 	17.060000 	2210000.000000
15-Feb-1950 	17.060000 	17.060000 	17.060000 	17.060000 	1730000.000000
16-Feb-1950 	16.990000 	16.990000 	16.990000 	16.990000 	1920000.000000
17-Feb-1950 	17.150000 	17.150000 	17.150000 	17.150000 	1940000.000000
20-Feb-1950 	17.200000 	17.200000 	17.200000 	17.200000 	1420000.000000
21-Feb-1950 	17.170000 	17.170000 	17.170000 	17.170000 	1260000.000000
23-Feb-1950 	17.210000 	17.210000 	17.210000 	17.210000 	1310000.000000
24-Feb-1950 	17.280000 	17.280000 	17.280000 	17.280000 	1710000.000000
27-Feb-1950 	17.280000 	17.280000 	17.280000 	17.280000 	1410000.000000
28-Feb-1950 	17.220000 	17.220000 	17.220000 	17.220000 	1310000.000000
01-Mar-1950 	17.240000 	17.240000 	17.240000 	17.240000 	1410000.000000
02-Mar-1950 	17.230000 	17.230000 	17.230000 	17.230000 	1340000.000000
03-Mar-1950 	17.290000 	17.290000 	17.290000 	17.290000 	1520000.000000
06-Mar-1950 	17.320000 	17.320000 	17.320000 	17.320000 	1470000.000000
07-Mar-1950 	17.200000 	17.200000 	17.200000 	17.200000 	1590000.000000
08-Mar-1950 	17.190000 	17.190000 	17.190000 	17.190000 	1360000.000000
09-Mar-1950 	17.070000 	17.070000 	17.070000 	17.070000 	1330000.000000
10-Mar-1950 	17.090000 	17.090000 	17.090000 	17.090000 	1260000.000000
13-Mar-1950 	17.120000 	17.120000 	17.120000 	17.120000 	1060000.000000
14-Mar-1950 	17.250000 	17.250000 	17.250000 	17.250000 	1140000.000000
15-Mar-1950 	17.450000 	17.450000 	17.450000 	17.450000 	1830000.000000
16-Mar-1950 	17.490000 	17.490000 	17.490000 	17.490000 	2060000.000000
17-Mar-1950 	17.450000 	17.450000 	17.450000 	17.450000 	1600000.000000
20-Mar-1950 	17.440000 	17.440000 	17.440000 	17.440000 	1430000.000000
21-Mar-1950 	17.450000 	17.450000 	17.450000 	17.450000 	1400000.000000
22-Mar-1950 	17.550000 	17.550000 	17.550000 	17.550000 	2010000.000000
23-Mar-1950 	17.560000 	17.560000 	17.560000 	17.560000 	2020000.000000
24-Mar-1950 	17.560000 	17.560000 	17.560000 	17.560000 	1570000.000000
27-Mar-1950 	17.460000 	17.460000 	17.460000 	17.460000 	1930000.000000
28-Mar-1950 	17.530000 	17.530000 	17.530000 	17.530000 	1780000.000000
29-Mar-1950 	17.440000 	17.440000 	17.440000 	17.440000 	2090000.000000
30-Mar-1950 	17.300000 	17.300000 	17.300000 	17.300000 	2370000.000000
31-Mar-1950 	17.290000 	17.290000 	17.290000 	17.290000 	1880000.000000
03-Apr-1950 	17.530000 	17.530000 	17.530000 	17.530000 	1570000.000000
04-Apr-1950 	17.550000 	17.550000 	17.550000 	17.550000 	2010000.000000
05-Apr-1950 	17.630000 	17.630000 	17.630000 	17.630000 	1430000.000000
06-Apr-1950 	17.780000 	17.780000 	17.780000 	17.780000 	2000000.000000
10-Apr-1950 	17.850000 	17.850000 	17.850000 	17.850000 	2070000.000000
11-Apr-1950 	17.750000 	17.750000 	17.750000 	17.750000 	2010000.000000
12-Apr-1950 	17.940000 	17.940000 	17.940000 	17.940000 	2010000.000000
13-Apr-1950 	17.980000 	17.980000 	17.980000 	17.980000 	2410000.000000
14-Apr-1950 	17.960000 	17.960000 	17.960000 	17.960000 	2750000.000000
17-Apr-1950 	17.880000 	17.880000 	17.880000 	17.880000 	2520000.000000
18-Apr-1950 	18.030000 	18.030000 	18.030000 	18.030000 	3320000.000000
19-Apr-1950 	18.050000 	18.050000 	18.050000 	18.050000 	2950000.000000
20-Apr-1950 	17.930000 	17.930000 	17.930000 	17.930000 	2590000.000000
21-Apr-1950 	17.960000 	17.960000 	17.960000 	17.960000 	2710000.000000
24-Apr-1950 	17.830000 	17.830000 	17.830000 	17.830000 	2310000.000000
25-Apr-1950 	17.830000 	17.830000 	17.830000 	17.830000 	1830000.000000
26-Apr-1950 	17.760000 	17.760000 	17.760000 	17.760000 	1880000.000000
27-Apr-1950 	17.860000 	17.860000 	17.860000 	17.860000 	2070000.000000
28-Apr-1950 	17.960000 	17.960000 	17.960000 	17.960000 	2190000.000000
01-May-1950 	18.220000 	18.220000 	18.220000 	18.220000 	2390000.000000
02-May-1950 	18.110000 	18.110000 	18.110000 	18.110000 	2250000.000000
03-May-1950 	18.270000 	18.270000 	18.270000 	18.270000 	2120000.000000
04-May-1950 	18.120000 	18.120000 	18.120000 	18.120000 	2150000.000000
05-May-1950 	18.220000 	18.220000 	18.220000 	18.220000 	1800000.000000
08-May-1950 	18.270000 	18.270000 	18.270000 	18.270000 	1680000.000000
09-May-1950 	18.270000 	18.270000 	18.270000 	18.270000 	1720000.000000
10-May-1950 	18.290000 	18.290000 	18.290000 	18.290000 	1880000.000000
11-May-1950 	18.290000 	18.290000 	18.290000 	18.290000 	1750000.000000
12-May-1950 	18.180000 	18.180000 	18.180000 	18.180000 	1790000.000000
15-May-1950 	18.260000 	18.260000 	18.260000 	18.260000 	1220000.000000
16-May-1950 	18.440000 	18.440000 	18.440000 	18.440000 	1730000.000000
17-May-1950 	18.520000 	18.520000 	18.520000 	18.520000 	2020000.000000
18-May-1950 	18.560000 	18.560000 	18.560000 	18.560000 	5240000.000000
19-May-1950 	18.680000 	18.680000 	18.680000 	18.680000 	2110000.000000
22-May-1950 	18.600000 	18.600000 	18.600000 	18.600000 	1620000.000000
23-May-1950 	18.710000 	18.710000 	18.710000 	18.710000 	1460000.000000
24-May-1950 	18.690000 	18.690000 	18.690000 	18.690000 	1850000.000000
25-May-1950 	18.690000 	18.690000 	18.690000 	18.690000 	1480000.000000
26-May-1950 	18.670000 	18.670000 	18.670000 	18.670000 	1330000.000000
29-May-1950 	18.720000 	18.720000 	18.720000 	18.720000 	1110000.000000
31-May-1950 	18.780000 	18.780000 	18.780000 	18.780000 	1530000.000000
01-Jun-1950 	18.770000 	18.770000 	18.770000 	18.770000 	1580000.000000
02-Jun-1950 	18.790000 	18.790000 	18.790000 	18.790000 	1450000.000000
05-Jun-1950 	18.600000 	18.600000 	18.600000 	18.600000 	1630000.000000
06-Jun-1950 	18.880000 	18.880000 	18.880000 	18.880000 	2250000.000000
07-Jun-1950 	18.930000 	18.930000 	18.930000 	18.930000 	1750000.000000
08-Jun-1950 	19.140000 	19.140000 	19.140000 	19.140000 	1780000.000000
09-Jun-1950 	19.260000 	19.260000 	19.260000 	19.260000 	2130000.000000
12-Jun-1950 	19.400000 	19.400000 	19.400000 	19.400000 	1790000.000000
13-Jun-1950 	19.250000 	19.250000 	19.250000 	19.250000 	1790000.000000
14-Jun-1950 	18.980000 	18.980000 	18.980000 	18.980000 	1650000.000000
15-Jun-1950 	18.930000 	18.930000 	18.930000 	18.930000 	1530000.000000
16-Jun-1950 	18.970000 	18.970000 	18.970000 	18.970000 	1180000.000000
19-Jun-1950 	18.920000 	18.920000 	18.920000 	18.920000 	1290000.000000
20-Jun-1950 	18.830000 	18.830000 	18.830000 	18.830000 	1470000.000000
21-Jun-1950 	19.000000 	19.000000 	19.000000 	19.000000 	1750000.000000
22-Jun-1950 	19.160000 	19.160000 	19.160000 	19.160000 	1830000.000000
23-Jun-1950 	19.140000 	19.140000 	19.140000 	19.140000 	1700000.000000
26-Jun-1950 	18.110000 	18.110000 	18.110000 	18.110000 	3950000.000000
27-Jun-1950 	17.910000 	17.910000 	17.910000 	17.910000 	4860000.000000
28-Jun-1950 	18.110000 	18.110000 	18.110000 	18.110000 	2600000.000000
29-Jun-1950 	17.440000 	17.440000 	17.440000 	17.440000 	3040000.000000
30-Jun-1950 	17.690000 	17.690000 	17.690000 	17.690000 	2660000.000000
03-Jul-1950 	17.640000 	17.640000 	17.640000 	17.640000 	1550000.000000
05-Jul-1950 	17.810000 	17.810000 	17.810000 	17.810000 	1400000.000000
06-Jul-1950 	17.910000 	17.910000 	17.910000 	17.910000 	1570000.000000
07-Jul-1950 	17.670000 	17.670000 	17.670000 	17.670000 	1870000.000000
10-Jul-1950 	17.590000 	17.590000 	17.590000 	17.590000 	1960000.000000
11-Jul-1950 	17.320000 	17.320000 	17.320000 	17.320000 	3250000.000000
12-Jul-1950 	16.870000 	16.870000 	16.870000 	16.870000 	3200000.000000
13-Jul-1950 	16.690000 	16.690000 	16.690000 	16.690000 	2660000.000000
14-Jul-1950 	16.870000 	16.870000 	16.870000 	16.870000 	1900000.000000
17-Jul-1950 	16.680000 	16.680000 	16.680000 	16.680000 	1520000.000000
18-Jul-1950 	17.060000 	17.060000 	17.060000 	17.060000 	1820000.000000
19-Jul-1950 	17.360000 	17.360000 	17.360000 	17.360000 	2430000.000000
20-Jul-1950 	17.610000 	17.610000 	17.610000 	17.610000 	3160000.000000
21-Jul-1950 	17.590000 	17.590000 	17.590000 	17.590000 	2810000.000000
24-Jul-1950 	17.480000 	17.480000 	17.480000 	17.480000 	2300000.000000
25-Jul-1950 	17.230000 	17.230000 	17.230000 	17.230000 	2770000.000000
26-Jul-1950 	17.270000 	17.270000 	17.270000 	17.270000 	2460000.000000
27-Jul-1950 	17.500000 	17.500000 	17.500000 	17.500000 	2300000.000000
28-Jul-1950 	17.690000 	17.690000 	17.690000 	17.690000 	2050000.000000
31-Jul-1950 	17.840000 	17.840000 	17.840000 	17.840000 	1590000.000000
01-Aug-1950 	18.020000 	18.020000 	18.020000 	18.020000 	1970000.000000
02-Aug-1950 	17.950000 	17.950000 	17.950000 	17.950000 	1980000.000000
03-Aug-1950 	17.990000 	17.990000 	17.990000 	17.990000 	1660000.000000
04-Aug-1950 	18.140000 	18.140000 	18.140000 	18.140000 	1600000.000000
07-Aug-1950 	18.410000 	18.410000 	18.410000 	18.410000 	1850000.000000
08-Aug-1950 	18.460000 	18.460000 	18.460000 	18.460000 	2180000.000000
09-Aug-1950 	18.610000 	18.610000 	18.610000 	18.610000 	1760000.000000
10-Aug-1950 	18.480000 	18.480000 	18.480000 	18.480000 	1870000.000000
11-Aug-1950 	18.280000 	18.280000 	18.280000 	18.280000 	1680000.000000
14-Aug-1950 	18.290000 	18.290000 	18.290000 	18.290000 	1280000.000000
15-Aug-1950 	18.320000 	18.320000 	18.320000 	18.320000 	1330000.000000
16-Aug-1950 	18.340000 	18.340000 	18.340000 	18.340000 	1770000.000000
17-Aug-1950 	18.540000 	18.540000 	18.540000 	18.540000 	2170000.000000
18-Aug-1950 	18.680000 	18.680000 	18.680000 	18.680000 	1780000.000000
21-Aug-1950 	18.700000 	18.700000 	18.700000 	18.700000 	1840000.000000
22-Aug-1950 	18.680000 	18.680000 	18.680000 	18.680000 	1550000.000000
23-Aug-1950 	18.820000 	18.820000 	18.820000 	18.820000 	1580000.000000
24-Aug-1950 	18.790000 	18.790000 	18.790000 	18.790000 	1620000.000000
25-Aug-1950 	18.540000 	18.540000 	18.540000 	18.540000 	1610000.000000
28-Aug-1950 	18.530000 	18.530000 	18.530000 	18.530000 	1300000.000000
29-Aug-1950 	18.540000 	18.540000 	18.540000 	18.540000 	1890000.000000
30-Aug-1950 	18.430000 	18.430000 	18.430000 	18.430000 	1490000.000000
31-Aug-1950 	18.420000 	18.420000 	18.420000 	18.420000 	1140000.000000
01-Sep-1950 	18.550000 	18.550000 	18.550000 	18.550000 	1290000.000000
05-Sep-1950 	18.680000 	18.680000 	18.680000 	18.680000 	1250000.000000
06-Sep-1950 	18.540000 	18.540000 	18.540000 	18.540000 	1300000.000000
07-Sep-1950 	18.590000 	18.590000 	18.590000 	18.590000 	1340000.000000
08-Sep-1950 	18.750000 	18.750000 	18.750000 	18.750000 	1960000.000000
11-Sep-1950 	18.610000 	18.610000 	18.610000 	18.610000 	1860000.000000
12-Sep-1950 	18.870000 	18.870000 	18.870000 	18.870000 	1680000.000000
13-Sep-1950 	19.090000 	19.090000 	19.090000 	19.090000 	2600000.000000
14-Sep-1950 	19.180000 	19.180000 	19.180000 	19.180000 	2350000.000000
15-Sep-1950 	19.290000 	19.290000 	19.290000 	19.290000 	2410000.000000
18-Sep-1950 	19.370000 	19.370000 	19.370000 	19.370000 	2040000.000000
19-Sep-1950 	19.310000 	19.310000 	19.310000 	19.310000 	1590000.000000
20-Sep-1950 	19.210000 	19.210000 	19.210000 	19.210000 	2100000.000000
21-Sep-1950 	19.370000 	19.370000 	19.370000 	19.370000 	1650000.000000
22-Sep-1950 	19.440000 	19.440000 	19.440000 	19.440000 	2510000.000000
25-Sep-1950 	19.420000 	19.420000 	19.420000 	19.420000 	2020000.000000
26-Sep-1950 	19.140000 	19.140000 	19.140000 	19.140000 	2280000.000000
27-Sep-1950 	19.410000 	19.410000 	19.410000 	19.410000 	2360000.000000
28-Sep-1950 	19.420000 	19.420000 	19.420000 	19.420000 	2200000.000000
29-Sep-1950 	19.450000 	19.450000 	19.450000 	19.450000 	1800000.000000
02-Oct-1950 	19.690000 	19.690000 	19.690000 	19.690000 	2200000.000000
03-Oct-1950 	19.660000 	19.660000 	19.660000 	19.660000 	2480000.000000
04-Oct-1950 	20.000000 	20.000000 	20.000000 	20.000000 	2920000.000000
05-Oct-1950 	19.890000 	19.890000 	19.890000 	19.890000 	2490000.000000
06-Oct-1950 	20.120000 	20.120000 	20.120000 	20.120000 	2360000.000000
09-Oct-1950 	20.000000 	20.000000 	20.000000 	20.000000 	2330000.000000
10-Oct-1950 	19.780000 	19.780000 	19.780000 	19.780000 	1870000.000000
11-Oct-1950 	19.860000 	19.860000 	19.860000 	19.860000 	2200000.000000
13-Oct-1950 	19.850000 	19.850000 	19.850000 	19.850000 	2030000.000000
16-Oct-1950 	19.710000 	19.710000 	19.710000 	19.710000 	1630000.000000
17-Oct-1950 	19.890000 	19.890000 	19.890000 	19.890000 	2010000.000000
18-Oct-1950 	20.010000 	20.010000 	20.010000 	20.010000 	2410000.000000
19-Oct-1950 	20.020000 	20.020000 	20.020000 	20.020000 	2250000.000000
20-Oct-1950 	19.960000 	19.960000 	19.960000 	19.960000 	1840000.000000
23-Oct-1950 	19.960000 	19.960000 	19.960000 	19.960000 	1850000.000000
24-Oct-1950 	20.080000 	20.080000 	20.080000 	20.080000 	1790000.000000
25-Oct-1950 	20.050000 	20.050000 	20.050000 	20.050000 	1930000.000000
26-Oct-1950 	19.610000 	19.610000 	19.610000 	19.610000 	3000000.000000
27-Oct-1950 	19.770000 	19.770000 	19.770000 	19.770000 	1800000.000000
30-Oct-1950 	19.610000 	19.610000 	19.610000 	19.610000 	1790000.000000
31-Oct-1950 	19.530000 	19.530000 	19.530000 	19.530000 	2010000.000000
01-Nov-1950 	19.560000 	19.560000 	19.560000 	19.560000 	1780000.000000
02-Nov-1950 	19.730000 	19.730000 	19.730000 	19.730000 	1580000.000000
03-Nov-1950 	19.850000 	19.850000 	19.850000 	19.850000 	1560000.000000
06-Nov-1950 	19.360000 	19.360000 	19.360000 	19.360000 	2580000.000000
08-Nov-1950 	19.560000 	19.560000 	19.560000 	19.560000 	1850000.000000
09-Nov-1950 	19.790000 	19.790000 	19.790000 	19.790000 	1760000.000000
10-Nov-1950 	19.940000 	19.940000 	19.940000 	19.940000 	1640000.000000
13-Nov-1950 	20.010000 	20.010000 	20.010000 	20.010000 	1630000.000000
14-Nov-1950 	19.860000 	19.860000 	19.860000 	19.860000 	1780000.000000
15-Nov-1950 	19.820000 	19.820000 	19.820000 	19.820000 	1620000.000000
16-Nov-1950 	19.720000 	19.720000 	19.720000 	19.720000 	1760000.000000
17-Nov-1950 	19.860000 	19.860000 	19.860000 	19.860000 	2130000.000000
20-Nov-1950 	19.930000 	19.930000 	19.930000 	19.930000 	2250000.000000
21-Nov-1950 	19.880000 	19.880000 	19.880000 	19.880000 	2010000.000000
22-Nov-1950 	20.160000 	20.160000 	20.160000 	20.160000 	2730000.000000
24-Nov-1950 	20.320000 	20.320000 	20.320000 	20.320000 	2620000.000000
27-Nov-1950 	20.180000 	20.180000 	20.180000 	20.180000 	1740000.000000
28-Nov-1950 	19.560000 	19.560000 	19.560000 	19.560000 	2970000.000000
29-Nov-1950 	19.370000 	19.370000 	19.370000 	19.370000 	2770000.000000
30-Nov-1950 	19.510000 	19.510000 	19.510000 	19.510000 	2080000.000000
01-Dec-1950 	19.660000 	19.660000 	19.660000 	19.660000 	1870000.000000
04-Dec-1950 	19.000000 	19.000000 	19.000000 	19.000000 	2510000.000000
05-Dec-1950 	19.310000 	19.310000 	19.310000 	19.310000 	1940000.000000
06-Dec-1950 	19.450000 	19.450000 	19.450000 	19.450000 	2010000.000000
07-Dec-1950 	19.400000 	19.400000 	19.400000 	19.400000 	1810000.000000
08-Dec-1950 	19.400000 	19.400000 	19.400000 	19.400000 	2310000.000000
11-Dec-1950 	19.720000 	19.720000 	19.720000 	19.720000 	2600000.000000
12-Dec-1950 	19.680000 	19.680000 	19.680000 	19.680000 	2140000.000000
13-Dec-1950 	19.670000 	19.670000 	19.670000 	19.670000 	2030000.000000
14-Dec-1950 	19.430000 	19.430000 	19.430000 	19.430000 	2660000.000000
15-Dec-1950 	19.330000 	19.330000 	19.330000 	19.330000 	2420000.000000
